PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),[Guardapolvo] Altura 1 (mm),[Guardapolvo] Diámetro exterior (Ømm),[Guardapolvo] Diámetro interior (Ømm),[Retén] Diámetro exterior (Ømm),[Retén] Diámetro interior (Ømm),Altura (mm),Cantidad,Composición,Construcción,Diámetro exterior (mm),Diámetro interior (mm),Embalaje,Número de pistones,Posición,Tipo de producto,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,Document1,DeliveryPlant
1127281,,18-3194,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,33.55,27.73,16.64,723980434053,0,8714109090,0,1,"<br> Pasadores de retención de pastillas de freno: 2
<br> Fuelle: 1
<br> Retén de pinza: 8
<br> Anillo de retención: 2
<br> Arandela: 2"," Pasadores de retención de pastillas de freno: 2
 Fuelle: 1
 Retén de pinza: 8
 Anillo de retención: 2
 Arandela: 2",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,423,48,127,119,28,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127281-1.jpg?context=bWFzdGVyfHJvb3R8MzM3NDV8aW1hZ2UvanBlZ3xhRGN5TDJnek55ODJOVGMxT1Rnek16QXpNRFk0Tmk4NE1EQlhlRGd3TUVoZk1URXlOekk0TVMweExtcHdad3xmNzE5N2M3NGJhYzIwZmJhNmYyNDI2Yjk3NjJiMGFjNDIzMGJmMDMxNmM5M2E1YzIyZTU2ZDY5YTY3ZDAwZWYx,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1127283,,18-3193,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,33.55,27.73,16.64,723980434046,1,8714109090,0,1,"<br> Pasadores de retención de pastillas de freno: 2
<br> Fuelle: 1
<br> Retén de pinza: 8
<br> Anillo de retención: 2
<br> Arandela: 2"," Pasadores de retención de pastillas de freno: 2
 Fuelle: 1
 Retén de pinza: 8
 Anillo de retención: 2
 Arandela: 2",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,423,47,127,119,28,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127283-1.jpg?context=bWFzdGVyfHJvb3R8MzI5Njl8aW1hZ2UvanBlZ3xhRGsyTDJneFlpODJOVGMxT1Rnek16ZzRNalkxTkM4NE1EQlhlRGd3TUVoZk1URXlOekk0TXkweExtcHdad3xjZDY0ZjZlMDlhZTg4ODUxMjQxZTM4MTM5YjQ2MTEwYzc4ZTc1YTdhZjk5NjI1YTZlM2I5YTUyYTdhYTE2YTgy,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1127218,,18-3260,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,60.81,50.26,30.16,723980436903,2,8714109090,0,1,"<br> Pasadores de retención de pastillas de freno: 2
<br> Fuelle: 8
<br> Retén de pinza: 12
<br> O-ring: 2
<br> Arandela: 8"," Pasadores de retención de pastillas de freno: 2
 Fuelle: 8
 Retén de pinza: 12
 O-ring: 2
 Arandela: 8",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,756,95,127,119,50,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127218-1.jpg?context=bWFzdGVyfHJvb3R8MzU1Njl8aW1hZ2UvanBlZ3xhREkwTDJoaVpDODJOVGMxT1RjM05UTTFPVEF3Tmk4NE1EQlhlRGd3TUVoZk1URXlOekl4T0MweExtcHdad3wxNDIzOGY1M2NkODJhODkxZjc5YTY0MzA1ZGQ0M2FjZmNmNzhlNWE1ZjRhZTI3MTU1ZmY3M2QzYzMyODk3Y2Zh,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1127225,,18-3161,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,85.33,70.52,42.31,723980433865,0,8714109090,0,1,"<br> Pasadores de retención de pastillas de freno: 4
<br> Fuelle: 3
<br> Retén de pinza: 24
<br> Arandela: 6"," Pasadores de retención de pastillas de freno: 4
 Fuelle: 3
 Retén de pinza: 24
 Arandela: 6",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,756,101,127,119,50,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127225-1.jpg?context=bWFzdGVyfHJvb3R8NjAyNDR8aW1hZ2UvanBlZ3xhR014TDJnd1l5ODJOVGMxT1RjM09ERXhNVFV4T0M4NE1EQlhlRGd3TUVoZk1URXlOekl5TlMweExtcHdad3w1NDMwNjViYjk2YmQ0YTE1OTU4YmE4NmViZWFjYmM5YmMwYzY2YWEwNTM1Mjk0MjRiN2ZjNjQyNjU1ODE2ZDI5,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1127185,,18-3038,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,33.81,27.94,16.76,723980405329,8,8714109090,0,1,"<br> Pasadores de retención de pastillas de freno: 2
<br> Fuelle: 5
<br> Retén de pinza: 2
<br> Tapón de goma: 1
<br> Arandela: 2"," Pasadores de retención de pastillas de freno: 2
 Fuelle: 5
 Retén de pinza: 2
 Tapón de goma: 1
 Arandela: 2",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,756,67,127,119,50,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127185-1.jpg?context=bWFzdGVyfHJvb3R8NDg0MjJ8aW1hZ2UvanBlZ3xhRGc1TDJoaFppODJOVGMxT1RjMk1qTXhOek0wTWk4NE1EQlhlRGd3TUVoZk1URXlOekU0TlMweExtcHdad3wzNmI5ZWI4ZmMxY2Q0OTNkZmU5NDJiMjQ4ZThmMmViYTE2ODY2MjVlNWYxMjlmYjU3MjEzNGFmYjY5MTU2YjBl,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1127236,,18-3116,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,80.10,66.20,39.72,723980433681,1,8714109090,0,1,"<br> Pasadores de retención de pastillas de freno: 2
<br> Fuelle: 2
<br> Retén de pinza: 28
<br> Anillo de retención: 2
<br> Arandela: 4"," Pasadores de retención de pastillas de freno: 2
 Fuelle: 2
 Retén de pinza: 28
 Anillo de retención: 2
 Arandela: 4",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,756,73,127,119,50,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127236-1.jpg?context=bWFzdGVyfHJvb3R8NDk1NTN8aW1hZ2UvanBlZ3xhR014TDJnMU5TODJOVGMxT1RjNE1qVXdNalF6TUM4NE1EQlhlRGd3TUVoZk1URXlOekl6TmkweExtcHdad3xhZTY2MjgzMjEwYjA4YTljZTY4M2I2MDhkYjJlNzAxYmZhY2ViMDM0NmJjZjczNmVjZGQ1MGY1OTk0NDExMTY3,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1127245,,18-3205,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,33.55,27.73,16.64,723980434107,0,8714109090,0,1,"<br> Pasadores de retención de pastillas de freno: 1
<br> Fuelle: 4
<br> Retén de pinza: 4
<br> Anillo de retención: 1
<br> Arandela: 2"," Pasadores de retención de pastillas de freno: 1
 Fuelle: 4
 Retén de pinza: 4
 Anillo de retención: 1
 Arandela: 2",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,756,54,127,119,50,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127245-1.jpg?context=bWFzdGVyfHJvb3R8Mzg1NDd8aW1hZ2UvanBlZ3xhR0ZrTDJneE15ODJOVGMxT1RjNE5qQTBNVE0zTkM4NE1EQlhlRGd3TUVoZk1URXlOekkwTlMweExtcHdad3wyOGRhYTY2MTVkYjllOTJjZGYxYWU0MDFkMmJhOTkzYjliZTdlYWE4NzU3MDNlNGNlMDc1MDViNjUyYjRiNDZm,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1127278,,18-3086,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,58.19,48.09,28.85,723980436385,0,8714109090,0,1,"<br> Pasadores de retención de pastillas de freno: 4
<br> Fuelle: 2
<br> Retén de pinza: 16
<br> Anillo de retención: 4
<br> Arandela: 4"," Pasadores de retención de pastillas de freno: 4
 Fuelle: 2
 Retén de pinza: 16
 Anillo de retención: 4
 Arandela: 4",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,756,85,127,119,50,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127278-1.jpg?context=bWFzdGVyfHJvb3R8MzkwMTJ8aW1hZ2UvanBlZ3xhREV6TDJnd05pODJOVGMxT1RjNU9UQTRNekF6T0M4NE1EQlhlRGd3TUVoZk1URXlOekkzT0MweExtcHdad3xjZWE3NGYwYjMxMGMwNDdiMjlmNzI3MDU2MWRkYzIyNjlhOGFiOTYxYTI5ZTQ3Njk3NDhlNTdkNDljNTYwYmJk,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1127205,,18-3174,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,57.64,47.64,28.58,723980433964,1,8714109090,0,1,"<br> Pasadores de retención de pastillas de freno: 4
<br> Fuelle: 2
<br> Retén de pinza: 18
<br> Arandela: 4"," Pasadores de retención de pastillas de freno: 4
 Fuelle: 2
 Retén de pinza: 18
 Arandela: 4",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,756,90,127,119,50,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127205-1.jpg?context=bWFzdGVyfHJvb3R8NDU3MjN8aW1hZ2UvanBlZ3xhRGxtTDJoaE5TODJOVGMxT1RjM01ERTRNVFkyTWk4NE1EQlhlRGd3TUVoZk1URXlOekl3TlMweExtcHdad3xhOTU5OGVmZGYwOGVkYjM1YTY4Njc3ZWQ4MWM0N2Y0MWJiNDkwZDI0ZGQwMGZhOThlZmVlNWRlNjEyNWU1YzYw,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1127193,,18-3075,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,33.55,27.73,16.64,723980436347,2,8714109090,0,1,"<br> Pasadores de retención de pastillas de freno: 1
<br> Fuelle: 3
<br> Retén de pinza: 2
<br> O-ring: 1
<br> Arandela: 2"," Pasadores de retención de pastillas de freno: 1
 Fuelle: 3
 Retén de pinza: 2
 O-ring: 1
 Arandela: 2",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,423,48,127,119,28,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127193-1.jpg?context=bWFzdGVyfHJvb3R8NjgxNDV8aW1hZ2UvanBlZ3xhREZrTDJnd1ppODJOVGMxT1RjMk5UUTJNekEzTUM4NE1EQlhlRGd3TUVoZk1URXlOekU1TXkweExtcHdad3w4ZTA3YWIxNjY3MDllNzE2ZWExYzM2ZDQzYTZjODZkNDhlMDMxZmMzZjA0MzkxMzQxZDc3ZWE1MTBjMWZiMzA2,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1127204,,18-3056,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,42.00,34.71,20.83,723980433483,0,8714109090,0,1,"<br> Pasadores de retención de pastillas de freno: 2
<br> Fuelle: 6
<br> Retén de pinza: 8
<br> O-ring: 2
<br> Arandela: 4"," Pasadores de retención de pastillas de freno: 2
 Fuelle: 6
 Retén de pinza: 8
 O-ring: 2
 Arandela: 4",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,756,80,127,119,50,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127204-1.jpg?context=bWFzdGVyfHJvb3R8NDEwNzd8aW1hZ2UvanBlZ3xhRGN4TDJnMVpDODJOVGMxT1RjMk9UYzRPRFEwTmk4NE1EQlhlRGd3TUVoZk1URXlOekl3TkMweExtcHdad3w4MzI0ZjBlZWE5YTRiM2I5ODYwZDk1ODI3MzU2MTk5ZDVkOGZiNDUyNTFkOWE5ZWQzMDBmOWMwNGYzY2JlZmJi,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1127227,,18-3261,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,60.81,50.26,30.16,723980436910,0,8714109090,0,1,"<br> Pasadores de retención de pastillas de freno: 2
<br> Fuelle: 8
<br> Retén de pinza: 12
<br> O-ring: 2
<br> Arandela: 8"," Pasadores de retención de pastillas de freno: 2
 Fuelle: 8
 Retén de pinza: 12
 O-ring: 2
 Arandela: 8",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,756,95,127,119,50,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127227-1.jpg?context=bWFzdGVyfHJvb3R8NjgxNDV8aW1hZ2UvanBlZ3xhREE1TDJnd1l5ODJOVGMxT1RjM09EZzVOemsxTUM4NE1EQlhlRGd3TUVoZk1URXlOekl5TnkweExtcHdad3xkZDBlZTM3NGQ2NGMwMzQ3NTAyM2RkZDAyZjAzNDIzN2JkZjQ5MTg4NjhkOWY4OGZiMzUzYTQyZDFhYzU0MGI4,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1127273,,18-3091,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,58.19,48.09,28.85,723980436408,2,8714109090,0,1,"<br> Pasadores de retención de pastillas de freno: 4
<br> Fuelle: 2
<br> Retén de pinza: 16
<br> Anillo de retención: 4
<br> Arandela: 4"," Pasadores de retención de pastillas de freno: 4
 Fuelle: 2
 Retén de pinza: 16
 Anillo de retención: 4
 Arandela: 4",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,756,83,127,119,50,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127273-1.jpg?context=bWFzdGVyfHJvb3R8MzU0OTB8aW1hZ2UvanBlZ3xhREEwTDJoa055ODJOVGMxT1RjNU56RXhOamsxT0M4NE1EQlhlRGd3TUVoZk1URXlOekkzTXkweExtcHdad3w1M2MyNzI0YTgxNWM3ODI3NzRjNWRiYWM3YTZkNTM2N2RjMWQxZDBmMzFkYmE5YzliNzRkOGE1MDVjOGIzYTM0,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1127177,,18-3024,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,33.81,27.94,16.76,723980405282,2,8714109090,0,1,"<br> Fuelle: 4
<br> Retén de pinza: 1
<br> Arandela: 2"," Fuelle: 4
 Retén de pinza: 1
 Arandela: 2",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,423,30,127,119,28,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127177-1.jpg?context=bWFzdGVyfHJvb3R8NDM4NDB8aW1hZ2UvanBlZ3xhRFpsTDJoaVpDODJOVGMxT1RjMU9URXdOakEzT0M4NE1EQlhlRGd3TUVoZk1URXlOekUzTnkweExtcHdad3xmNzEzNDU5OTgwNzllOTVhNjdlOTlhZmY1ZmVmMDdkMTNmYTE5Y2Q2ZGJlZjExYTczMzkxMDk3ZDc0YTEzNjRj,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1127241,,18-3152,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,33.81,27.94,16.76,723980433827,1,8714109090,0,1,"<br> Pasadores de retención de pastillas de freno: 1
<br> Fuelle: 3
<br> Retén de pinza: 4
<br> Anillo de retención: 1
<br> Arandela: 2"," Pasadores de retención de pastillas de freno: 1
 Fuelle: 3
 Retén de pinza: 4
 Anillo de retención: 1
 Arandela: 2",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,423,45,127,119,28,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127241-1.jpg?context=bWFzdGVyfHJvb3R8MzA2NzV8aW1hZ2UvanBlZ3xhRFl3TDJoa09TODJOVGMxT1RjNE5EUTJPRFV4TUM4NE1EQlhlRGd3TUVoZk1URXlOekkwTVMweExtcHdad3wxOGU1ZTQzNDNmODg4YjcyMTk0NzU2ZmExODFjM2MyMmY1NmRjYmM1NzhmM2Q4MGNlYzdjMWM4MGQ1N2Q2OThk,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
1127209,,18-3064,ALL BALLS,ALLBA CALIPER REBUILD KIT,Kit de reparación de pinza de freno ALL BALLS,42.00,34.71,20.83,723980436231,0,8714109090,0,1,"<br> Pasadores de retención de pastillas de freno: 2
<br> Fuelle: 6
<br> Retén de pinza: 8
<br> Arandela: 4"," Pasadores de retención de pastillas de freno: 2
 Fuelle: 6
 Retén de pinza: 8
 Arandela: 4",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. BRAKE PARTS,743,77,126,118,50,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1127209-1.jpg?context=bWFzdGVyfHJvb3R8NjgxNDV8aW1hZ2UvanBlZ3xhRFppTDJoa1l5ODJOVGMxT1RjM01UYzFORFV5Tmk4NE1EQlhlRGd3TUVoZk1URXlOekl3T1MweExtcHdad3w3OGRkYWMxOTQ3Y2JmMmM3NzExOTFhM2MzOWU4ODcxNjQxYmY2ZWM2OWNjYWEyYTM1NTM3MDY0NzU5MmQzMDk0,,,,,,https://static.bihr.pro/eBihr/Pictures/ALL_BALLS-pictures.zip,,Spain Warehouse (Parts)
